root,meaning
a-,否定/離す
ab-,=away
-able,可能
ac,=ad方向
act,法令
-age,行為、状態
-al,=all強意/=ad方向
alt,他のもの
alti,高い
altr,他のもの
amb,=aroundあちこち
ana,=up上がる
-ance,こと
annu,年
ano,否定
-ant,=against対して
anthropo,人類
anti-,=against
arch,支配者
archae,古代
arctic,北極
arist,最上の
as,=ad方向/強意
assure,保証する
aster,星
-ate,動詞語尾
-ation,名詞語尾
-atory,形容詞語尾
aut,自己
auto-,自己
bark,船
bat,叩く
be-,強意/生物
bene-,良い・良く
betes,行く
bio-,命、生物
brace,腕
bris,=break
cabin,部屋
card,=cord心臓
cav,=cave洞穴
cay,落ちる
cede,=ceed進む
ceive,受け取る
cens,=judge審査する
cern,分ける
chase,追跡する
chron-,時間
cide,切る
cip,=cap頭/取る
circ,円
cite,呼び起こす
clar,=clear
claustro,=closed閉じた（場所）
cli,傾く
cline,傾く
clus,=close閉じる
co-,=con共に
cogni,認知
col,=con共に
com-,強意
commu,=common共通の
compass,範囲
compet,競争する
con-,共に/強意
contra,逆
cor,=con共に
cord,心、中心
corpo,身体
counter-,ぶつかる
cred,信じる
cri,判定
cru,=cross十字架
cur,走る
cure,心配
cycl,円・輪
de-,分離/悪化/強意/=down下に
decess,引退
dem,民衆
demn,非難
demo,民衆
der,=do与える
di-,=de強意
dia-,横切って
dict,言う
dis-,強意/分離
dispens,なしで済ます
do,与える
doctr,教える
-dom,=dome家
dox,意見
duc,導く
duce,導く
dure,長持ち
e,強意
ec,=ex外に
ee,された人
eligi,選ぶ
em-,=en動詞化/=in中に
-en,動詞化/=in中に/与える
encyclo,全般的な
ennium,年
epi-,上
equat,=equal等しい
-er,置く
ert,出す/=erect立って
-es,=eat
ev,=era時代
evit,避ける
ex-,外に
exo,外部
ey,卵
fac,"=fic, fec作る行う"
fec,作る
fer,運ぶ
fes,言う
fest,つかむ
fic,作る
fid,信頼・信じる
fin,限界
fine,良い
flat,なでつける
flict,打つ
flou,花開く
flu,=flow流れ
fold,折りたたむ
force,力
fore-,前もって
form,形・形成する
found,=foundation底
frac,破壊された
frag,破壊された
frain,抑える
fuge,逃げる
fuse,注ぐ
-fy,信頼
gar,保護する
gen,生まれる
geno,種族
geo-,土
gest,運ぶ
gl,光
gnant,=gen生む
gr,重い
gra,感謝
grad,進む・段階
grah,図
graph,書く・描く
graphy,描く
gress,進む
guise,服装
habit,持つ
heaval,持ち上げること
hemi-,半分
hend,手
hentic,行為者
her,くっつく
here,くっつく
hibit,持つ
hind,後に
host,もてなす
hum,土
hydr,水
hydra,水
hypo-,下
-ia,名詞語尾
iatry,治療
ideo,観念
-ient,形容詞語尾
igu,行く
ile,しやすい
im-,否定
in-,否定/中に
incide,=incident出来事
indi,土地の中
-ine,名詞語尾
infra,下
insula,島
inter-,間
-ion,名詞語尾/こと
-ism,主義
isol,=island
it,行く
ite,性質
-ity,名詞語尾/状態
ject,投げる
jeo,試合
kidn,子ども
labor,労働
lapse,落ちる
leash,ひも
lect,拾い上げる
leg,=legal法律
legat,送る
-less,否定
lev,lever持ち上げる
li,縛る
lide,ぶつかる
light,光
limin,=limit制限
-ling,=long長い
lip,=leave去る
liter,文字・文学
-lize,動詞語尾
loc,場所
locate,置く
log,言葉・論理・学問
-logy,=logic論理
loque,話す
luc,光
lumi,光
-ly,副詞語尾/縛る
magni,大きい
mal-,悪い
mamma,乳房
mand,命令
mani,手
manu,手
mare,傷つける
may,=might力
medi,中間の
medy,=medicine治す
