word,meaning,partOfSpeech,example,example_ja,leapPart,leapNumber,tags
agree,①賛成する ②（主語の中で）意見が一致する ③（with ～）（気候，食べ物が）（～に）合う,自動詞,①I agree with your idea. ②We couldn't agree on the plan. ③This food doesn't agree with me.,①あなたの考えに賛成です。 ②私たちはその計画で意見が一致しなかった。 ③この食べ物は私の体に合わない。,Part1,1,
oppose,～に反対する,他動詞,Many students opposed the new rule.,多くの生徒がその新しいルールに反対した。,Part1,2,
advise,～に忠告する,他動詞,My teacher advised me to study harder.,先生は私にもっと一生懸命勉強するよう忠告した。,Part1,3,
tip,①助言，ヒント ②チップ ③（足や山などの）先，先端（いずれも〈可算〉）,名詞,①She gave me a useful tip. ②He left a tip for the waiter. ③The tip of the pencil broke.,①彼女は私に役立つヒントをくれた。 ②彼はウェイターにチップを置いた。 ③鉛筆の先が折れた。,Part1,4,
discuss,①～について話し合う，議論する ②～を話題に出す,他動詞,①We discussed the problem together. ②They discussed their trip at dinner.,①私たちは一緒にその問題について話し合った。 ②彼らは夕食でその旅行を話題にした。,Part1,5,
blame,～に責任があるとする,他動詞,Don't blame him for the mistake.,その間違いで彼を責めないでください。,Part1,6,
argue,①（that SV）～と主張する ②（with ～）（～と）言い争う,他動詞,①She argued that the plan was wrong. ②He often argues with his brother.,①彼女はその計画が間違いだと主張した。 ②彼はよく兄と言い争う。,Part1,7,
claim,①（that SV）～と主張する ②～を要求する，主張する ③主張，要求,他動詞,①He claimed that he was innocent. ②She claimed her prize. ③That is a false claim.,①彼は自分が無実だと主張した。 ②彼女は賞を要求した。 ③それは偽りの主張だ。,Part1,8,
complain,①文句を言う，苦情を言う ②（of ～）（病気などを）訴える,自動詞,①He always complains about his job. ②She complained of a headache.,①彼はいつも仕事に文句を言う。 ②彼女は頭痛を訴えた。,Part1,9,
offer,①～を申し出る ②申し出 ③値引き,他動詞,①She offered to help me. ②I accepted his offer. ③The store has a special offer today.,①彼女は私を手伝うと申し出た。 ②私は彼の申し出を受け入れた。 ③その店は今日特別値引きをしている。,Part1,10,
suggest,①～を示唆する ②～を提案する,他動詞,①The data suggests a problem. ②He suggested going by train.,①そのデータは問題があることを示唆している。 ②彼は電車で行くことを提案した。,Part1,11,
recommend,～を推薦する，勧める,他動詞,My friend recommended this restaurant to me.,友人がこのレストランを私に勧めてくれた。,Part1,12,
grateful,感謝している,形容詞,I am grateful to you for your help.,あなたの助けにとても感謝しています。,Part1,13,
apologize,（to ～）（～に）謝る,自動詞,He apologized to her for being late.,彼は遅刻したことを彼女に謝った。,Part1,14,
excuse,①言い訳 ②～を許す ③（A from B）（B からA）を免除する,名詞,①That's just an excuse. ②Please excuse my mistake. ③She was excused from gym class.,①それはただの言い訳だ。 ②私の間違いをお許しください。 ③彼女は体育の授業を免除された。,Part1,15,
